project,additional,total
Chart,5.425945628838402,-0.912854999063939
Closure,0.8415000730167543,1.4686699361521782
Lang,9.003518290315938,13.551082416688942
Math,4.006480082258657,11.76471889025108
Time,6.852477653879174,3.272978427253692
average,5.225984345661785,5.82891893425639
all,4.480653448753857,7.25097919908384
